Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With,CarbonEmission
0,1,1,3,2,2,1,0,299,1,2136,1,7,3,34,0,0,4,3,3381
3,1,2,1,0,0,-1,2,244,3,273,0,5,2,19,11,2,4,3,3184
0,1,1,1,2,1,-1,1,115,3,81,1,7,4,35,0,1,0,8,3512
2,1,0,1,2,0,-1,2,205,3,1295,0,7,6,11,20,1,4,5,3009
2,0,3,1,1,0,-1,1,266,2,1947,0,1,24,32,20,2,4,11,1275
2,0,0,2,0,0,-1,1,145,3,243,1,7,15,37,17,2,4,12,3007
3,0,2,2,0,1,-1,1,131,0,0,3,2,10,17,22,1,1,10,1465
3,1,1,3,0,1,-1,0,123,2,76,2,3,3,46,24,2,6,15,1822
3,1,0,1,0,0,-1,2,171,1,922,0,6,5,16,22,1,4,5,1992
1,1,3,2,2,1,-1,0,214,3,30,3,7,2,22,23,0,12,15,3294
0,0,1,0,1,0,-1,0,141,1,396,3,5,17,3,6,2,8,1,1303
0,0,0,0,3,0,-1,1,103,1,1894,0,5,5,0,6,0,6,14,1156
2,0,2,0,2,2,0,2,98,0,9787,3,4,21,12,12,0,14,5,4547
1,0,3,2,2,2,4,0,123,0,4211,2,3,4,32,12,2,9,10,1960
3,1,3,0,2,1,-1,0,240,3,37,1,2,9,34,16,0,1,0,2624
1,0,2,2,0,2,4,0,184,2,4628,0,4,15,25,16,0,0,11,2020
1,1,3,2,0,0,-1,0,273,0,1249,2,2,0,42,16,1,6,5,2873
1,0,1,2,1,2,1,2,78,0,5744,0,7,1,27,13,2,2,4,3891
3,0,0,0,2,1,-1,2,78,2,18,3,4,20,50,6,0,3,10,1271
2,1,3,0,0,0,-1,1,117,1,1958,0,1,4,41,4,2,14,2,1603
2,0,0,0,3,1,-1,2,54,3,74,0,2,7,19,16,1,14,6,1760
1,0,2,1,1,1,-1,0,217,0,36,0,6,1,43,8,2,0,8,2881
1,1,0,3,1,1,-1,2,179,2,24,0,4,24,37,0,0,0,10,1939
0,1,0,3,1,1,-1,1,266,0,77,2,2,6,30,19,1,11,5,2118
2,1,3,3,2,0,-1,1,265,0,1402,0,5,17,40,10,2,1,9,1980
3,1,0,2,1,2,2,1,214,2,3051,3,4,15,35,1,1,13,9,1818
2,0,2,2,0,0,-1,2,117,2,201,0,7,3,26,13,1,9,14,1632
2,1,2,0,1,0,-1,2,207,2,1274,3,6,2,39,20,2,7,13,1764
2,0,2,3,0,1,-1,1,248,2,95,2,1,2,5,1,0,4,13,1089
3,0,1,1,0,1,-1,0,96,2,32,0,6,2,38,12,0,8,1,1753
1,1,2,1,2,0,-1,0,233,0,481,1,5,11,37,8,0,3,9,3244
3,1,2,1,2,2,3,1,183,0,4431,3,2,10,26,12,0,13,5,3187
0,0,0,0,2,2,3,1,179,0,8288,2,2,21,31,22,1,7,10,3942
0,0,1,3,2,1,-1,0,197,3,74,3,7,14,14,18,1,10,1,2502
0,1,1,2,1,1,-1,0,181,2,12,1,6,8,4,5,1,9,3,1648
3,1,1,2,2,0,-1,0,139,2,689,1,7,20,1,19,0,3,12,1617
0,0,1,3,3,0,-1,0,93,2,1915,2,7,16,16,7,2,10,15,776
3,1,1,3,3,0,-1,2,297,2,577,2,1,19,13,2,2,3,10,524
0,1,2,1,2,2,1,2,273,0,4673,0,2,0,47,12,1,8,14,4144
2,1,3,3,0,0,-1,1,179,3,272,3,1,22,49,2,2,9,12,2478
3,0,2,0,1,2,2,1,287,0,3361,0,2,22,49,23,2,10,9,2619
3,0,1,0,0,1,-1,2,80,0,15,3,5,13,34,20,2,2,6,1951
3,0,0,1,2,2,4,2,156,1,6754,1,5,10,17,3,0,5,15,1356
2,0,3,1,3,2,0,2,182,3,5485,3,1,20,40,5,1,5,7,3449
3,0,1,1,0,1,-1,2,182,3,58,0,2,22,27,17,2,10,1,2336
0,0,2,1,2,0,-1,2,289,0,1160,1,2,11,7,15,2,1,15,1713
2,1,2,2,0,0,-1,0,240,1,1497,0,4,1,34,9,0,10,12,2055
1,1,0,0,3,1,-1,2,105,2,70,3,5,17,22,13,2,5,6,1113
1,1,1,0,3,2,3,2,295,3,2750,1,3,2,50,0,1,3,13,4377
2,1,0,1,2,2,1,2,128,1,5220,2,4,22,29,20,2,0,12,2639
2,0,2,1,0,2,2,1,197,1,987,2,5,21,36,9,0,12,2,1612
0,0,1,2,0,2,0,2,80,3,1312,1,6,10,46,23,0,3,15,3636
2,1,2,2,2,1,-1,2,237,0,11,2,4,5,34,23,2,4,15,2240
3,0,0,1,2,0,-1,2,146,1,996,0,6,5,14,7,1,7,2,1348
0,1,1,2,3,1,-1,2,160,0,75,2,2,5,20,7,2,9,14,1431
1,1,0,2,3,0,-1,1,54,2,8,2,2,17,19,18,0,13,10,892
1,1,3,3,3,0,-1,2,255,3,1047,2,6,8,36,2,2,0,7,3112
3,1,1,0,2,0,-1,2,295,3,1433,2,5,3,45,15,1,10,8,2865
3,0,3,1,2,2,2,0,56,0,242,0,3,5,37,13,0,14,2,1907
1,0,2,2,2,2,0,1,56,0,9598,2,2,17,33,10,1,7,2,5677
2,1,2,3,2,0,-1,2,93,2,1735,2,2,5,42,3,1,12,5,1272
0,1,0,0,1,2,2,0,298,2,867,3,5,16,6,11,1,1,14,1459
1,1,1,3,0,0,-1,0,216,0,1091,1,6,1,18,11,2,9,14,3171
3,1,3,0,1,2,1,0,68,1,9169,1,2,11,0,13,1,13,15,3357
3,0,2,1,0,2,0,2,206,3,5286,3,1,5,29,21,2,8,11,4313
1,0,3,2,1,0,-1,0,259,1,447,2,1,5,42,7,0,14,8,1762
3,0,2,0,0,0,-1,0,132,1,189,1,5,9,50,12,2,13,13,2108
1,1,3,2,3,0,-1,2,149,2,89,2,2,21,20,23,2,5,2,874
0,1,2,0,0,2,1,2,67,0,9025,3,4,15,25,8,1,0,2,4571
2,0,3,3,0,2,0,1,87,0,6946,2,6,14,45,19,2,5,4,3936
3,1,1,0,3,2,1,0,298,3,4007,0,6,9,36,19,2,5,2,4129
0,0,1,1,1,1,-1,2,110,0,35,2,2,21,31,22,1,15,2,1717
0,0,0,1,3,2,4,2,111,0,2763,2,7,16,33,14,0,8,10,1895
1,1,1,3,0,2,3,0,53,0,9300,0,1,9,38,21,2,7,3,5635
3,1,0,0,2,1,-1,0,214,2,67,1,3,7,8,6,0,15,11,1306
0,0,1,1,3,2,2,0,163,2,2555,1,7,16,0,19,2,6,3,1790
2,1,1,1,1,0,-1,0,84,0,165,1,2,22,36,10,0,1,14,1772
1,1,1,3,0,1,-1,1,74,2,53,3,4,23,7,1,1,14,14,1305
3,0,1,3,2,1,-1,2,91,2,52,2,7,19,12,8,2,14,7,901
2,1,0,0,1,2,0,1,210,2,8728,2,4,21,29,21,0,3,9,4179
0,0,1,0,1,2,0,0,53,3,9686,3,7,20,40,1,2,6,11,6185
2,0,2,0,3,1,-1,2,85,2,51,2,1,15,1,15,0,14,7,460
1,0,1,3,3,1,-1,2,81,2,4,1,2,12,34,19,1,2,7,1165
3,1,2,3,3,2,2,1,72,1,6041,0,5,7,38,2,2,1,3,2186
1,0,1,0,0,2,1,2,168,1,792,1,6,9,49,7,1,14,2,2701
0,1,0,2,0,2,3,1,57,3,6179,3,6,14,42,8,0,1,0,5037
3,0,3,2,3,2,4,1,66,3,6458,3,5,14,23,13,1,10,10,1726
3,1,2,0,3,2,4,1,94,2,3657,2,3,11,33,24,0,3,15,796
3,1,3,3,3,1,-1,1,51,0,25,3,6,13,4,20,0,3,10,1382
0,0,3,0,2,2,1,2,255,0,5201,0,3,2,31,7,2,9,11,3161
3,0,1,1,1,0,-1,2,112,2,1110,3,5,13,28,21,2,14,1,1206
1,1,0,1,2,2,2,2,162,1,1354,3,2,23,32,21,2,6,11,2179
0,0,1,1,1,1,-1,2,222,2,94,2,5,17,9,14,0,12,0,927
3,1,0,3,2,0,-1,0,84,2,1617,0,3,18,12,13,0,8,3,1427
1,0,3,0,3,1,-1,0,220,1,69,0,3,18,10,23,1,15,10,1310
1,0,1,2,3,2,0,2,297,2,9580,0,4,5,36,21,0,1,3,5229
1,0,3,0,0,2,4,0,292,3,1969,2,3,4,15,12,2,2,10,2851
3,0,0,2,1,2,1,0,190,2,2877,0,7,5,26,16,0,9,5,2210
3,0,2,1,0,2,0,0,273,2,9486,3,7,23,48,16,0,8,12,5302
3,0,2,2,1,2,3,0,139,0,6031,3,6,22,4,12,0,9,5,3157
3,1,2,1,1,1,-1,1,86,1,84,0,3,24,47,15,0,4,14,1948
1,0,3,1,3,2,1,1,241,0,2772,3,3,23,1,15,1,7,8,2028
2,0,3,0,2,0,-1,2,194,2,1360,1,7,11,19,18,0,8,6,1727
3,1,0,2,3,0,-1,1,237,3,784,2,1,3,22,13,0,13,15,2175
3,0,1,1,3,2,3,1,153,1,615,3,1,13,10,24,0,12,12,762
3,0,1,3,0,0,-1,2,133,3,693,2,2,2,20,2,1,15,2,2126
1,1,2,3,3,0,-1,2,148,1,291,3,4,21,32,16,0,5,4,1680
0,0,3,0,1,2,2,1,83,3,943,0,3,18,45,5,2,12,11,2644
2,0,0,2,2,1,-1,1,184,3,73,0,3,5,7,14,0,3,8,1809
1,0,0,1,0,0,-1,2,186,2,70,2,4,13,26,13,2,11,5,1481
0,0,0,3,1,2,2,1,219,2,5196,1,6,7,11,20,2,14,3,2520
0,0,1,3,1,0,-1,0,109,0,403,3,6,17,21,16,0,13,10,2051
3,1,3,3,1,1,-1,0,102,0,7,2,3,13,7,20,0,15,4,1632
0,1,3,1,0,2,1,1,151,3,1078,2,2,1,40,7,1,12,1,2990
2,0,3,3,2,0,-1,0,134,3,1550,1,6,0,41,22,2,9,12,2757
0,0,3,0,0,0,-1,0,174,3,1610,0,5,6,40,22,0,2,10,3378
2,0,0,2,2,0,-1,0,115,2,730,2,1,17,16,21,1,5,9,942
2,1,2,3,2,0,-1,1,281,2,1779,3,4,9,20,15,1,12,6,1334
1,1,0,3,2,1,-1,2,164,0,51,1,6,6,4,15,1,10,1,2423
0,1,3,0,3,2,2,1,252,3,4490,0,1,2,36,8,2,15,4,3225
0,1,0,3,2,2,1,0,296,0,1283,3,6,20,6,23,1,5,2,2675
1,0,2,3,2,2,0,0,93,1,8521,1,1,7,34,11,0,3,6,4796
1,0,2,3,0,0,-1,2,227,2,1849,3,4,7,46,12,1,7,3,2274
2,1,2,1,0,1,-1,0,294,3,58,2,5,11,30,22,2,0,2,3053
1,0,0,1,0,2,2,1,125,2,1896,0,6,20,36,5,0,14,11,2345
2,1,1,2,2,0,-1,1,151,3,1932,3,5,16,32,24,1,6,10,2922
2,0,1,0,2,0,-1,2,146,1,1527,0,5,2,36,11,0,4,13,1789
2,1,1,3,0,2,2,0,275,3,4688,1,1,10,16,23,1,4,15,3366
0,0,1,2,3,2,0,0,279,3,6843,1,2,24,13,14,2,7,4,4929
0,0,0,0,0,2,2,2,185,0,215,3,1,10,33,17,0,7,7,1989
1,0,0,1,3,1,-1,1,136,1,39,0,1,1,22,8,2,2,0,922
3,1,2,2,3,0,-1,0,87,3,772,2,5,5,47,24,0,1,12,2605
1,1,2,0,3,1,-1,2,204,3,40,2,1,0,3,1,1,12,0,2148
0,0,1,0,1,2,4,0,260,0,7618,3,3,0,49,16,2,13,2,2290
0,1,2,2,1,1,-1,2,161,2,72,0,7,5,7,8,0,13,14,1857
1,1,3,0,3,0,-1,1,228,1,1951,0,5,5,15,22,1,2,10,1831
0,1,2,1,2,1,-1,1,96,0,10,3,1,11,2,13,1,1,3,1276
2,1,3,1,1,1,-1,1,262,1,29,2,7,6,24,7,1,2,15,1236
3,1,3,1,2,2,3,0,75,2,4791,3,6,7,17,10,2,9,14,2403
3,1,0,0,2,0,-1,1,146,0,1515,1,4,23,1,10,1,7,3,1913
2,1,2,1,3,1,-1,0,146,3,56,1,2,7,15,19,1,9,15,2164
1,1,0,3,0,0,-1,0,125,2,1682,3,4,18,37,15,1,10,9,2150
0,1,0,1,0,1,-1,2,118,1,70,2,7,12,15,21,2,12,4,1488
1,0,3,3,1,2,1,0,173,2,8537,2,5,2,12,2,0,11,13,3373
1,0,3,3,1,2,2,1,63,3,8666,0,1,6,7,18,1,12,1,3584
0,1,3,1,0,1,-1,0,213,1,64,2,7,20,4,20,0,14,9,1936
0,1,0,2,3,1,-1,0,65,1,45,1,7,23,42,19,1,14,11,2636
2,0,1,3,2,0,-1,1,111,0,278,2,5,1,27,5,1,4,2,1560
0,0,2,0,1,0,-1,1,183,0,1410,0,2,4,39,16,2,11,14,2080
2,1,3,0,3,0,-1,0,206,2,1203,0,7,9,12,23,1,3,4,1315
1,1,2,1,3,0,-1,1,220,0,769,0,5,6,4,8,1,15,15,2032
3,1,2,3,1,2,2,1,179,1,9331,3,3,22,42,5,1,6,4,3168
2,1,1,2,2,2,3,0,180,1,7981,2,5,24,50,4,1,8,8,3984
2,0,3,0,1,0,-1,1,90,0,564,0,5,17,19,10,2,4,10,1666
3,0,0,1,0,1,-1,2,210,2,34,3,3,13,2,11,1,15,5,1005
1,1,0,1,2,2,1,0,165,1,6585,1,6,4,3,11,2,2,1,4342
0,1,3,2,1,1,-1,0,127,0,47,2,3,13,39,5,1,10,11,1985
2,0,1,2,2,0,-1,1,187,0,1335,2,5,9,22,10,2,11,9,1495
0,0,1,2,1,0,-1,1,161,2,1954,0,6,21,25,11,2,11,1,1623
3,0,2,0,3,2,0,2,79,2,6179,3,3,7,2,22,0,11,5,2578
0,0,2,2,0,2,1,1,112,2,8098,1,6,3,35,4,0,7,3,3942
3,1,0,0,1,1,-1,1,179,0,27,0,5,21,10,8,2,12,7,1670
1,0,3,3,3,2,2,1,143,3,5877,0,7,20,46,20,2,9,14,4141
1,0,2,2,2,0,-1,2,257,2,1582,3,1,15,4,13,0,7,15,1222
1,0,1,3,3,2,3,1,103,3,7686,1,4,3,27,3,2,2,0,4648
1,0,2,1,3,1,-1,2,81,0,62,2,7,2,23,10,1,7,13,1663
3,1,3,3,1,0,-1,0,117,1,764,2,6,5,28,5,1,4,12,1580
1,1,0,0,0,1,-1,1,178,3,63,0,6,10,12,3,2,6,10,3504
1,0,2,1,3,0,-1,2,198,0,1361,0,6,23,44,6,0,11,11,2588
0,1,0,3,0,2,4,1,122,0,4547,1,4,13,48,11,0,2,12,2871
0,1,0,1,0,1,-1,2,260,3,97,3,4,17,37,12,0,7,3,3571
3,1,3,0,1,0,-1,0,99,1,1346,2,7,18,4,1,2,6,11,1267
2,0,0,0,2,2,0,1,122,3,1669,3,4,9,6,1,1,3,13,2161
1,0,0,1,0,1,-1,1,260,0,18,1,7,6,15,1,2,1,8,2558
2,0,1,3,3,1,-1,2,251,2,11,3,1,2,3,14,2,3,0,306
0,1,3,0,1,2,1,1,68,3,887,1,5,15,50,14,2,0,5,3829
3,0,2,3,0,0,-1,0,130,1,834,3,1,0,29,18,2,14,14,1610
0,1,1,2,0,2,1,1,92,0,3106,3,4,19,19,16,1,9,11,2956
3,1,3,0,0,2,1,0,54,3,2052,1,3,18,42,16,1,4,14,3907
0,0,3,0,0,0,-1,1,101,3,360,2,3,3,13,5,0,4,3,2425
0,0,3,2,2,2,0,2,247,1,7023,0,7,2,1,11,1,2,15,4000
0,0,0,0,3,1,-1,2,58,2,25,2,2,20,50,17,1,2,5,1204
1,1,0,0,1,2,2,0,197,0,1481,2,3,1,37,11,1,10,4,2637
2,1,2,1,3,2,3,1,83,0,2484,3,1,3,16,7,2,13,5,1733
0,0,2,3,1,0,-1,2,221,0,1762,0,4,23,3,2,1,6,1,1857
0,1,2,3,1,1,-1,2,212,0,27,2,5,20,38,11,1,6,0,2564
1,0,0,2,0,1,-1,0,110,1,16,1,1,21,24,2,1,4,9,1892
1,1,0,2,0,1,-1,1,87,1,26,0,1,9,31,15,0,14,10,1881
1,1,3,2,1,2,1,2,218,3,6020,1,5,3,45,14,1,8,15,6094
0,0,1,2,0,0,-1,0,211,0,1395,0,2,24,40,11,1,10,4,2238
1,1,3,3,1,1,-1,2,266,3,61,0,7,15,25,21,0,7,14,3833
2,0,0,2,1,1,-1,0,229,2,75,0,4,1,37,9,1,13,13,1481
1,0,3,0,3,0,-1,2,288,3,1365,2,3,14,34,8,0,5,4,2469
0,1,0,2,3,2,3,0,73,2,8299,2,2,4,33,14,1,11,11,3469
0,0,0,2,2,0,-1,1,196,2,1062,2,1,17,12,14,0,1,4,749
3,0,0,1,1,1,-1,1,153,0,45,2,7,1,46,6,1,7,5,1821
2,1,2,0,1,0,-1,1,113,1,316,3,3,6,24,7,2,9,10,1164
1,0,1,1,3,0,-1,2,177,0,1829,1,4,12,8,13,2,1,4,1555
1,0,1,1,0,1,-1,0,282,1,12,0,6,7,36,2,1,5,5,2322
3,1,0,0,1,1,-1,2,142,3,38,1,2,6,4,15,0,3,0,2378
1,1,1,1,2,2,4,2,131,0,4439,3,1,5,38,7,1,10,3,1926
0,0,2,3,3,2,2,0,199,1,7904,0,5,10,8,11,2,2,15,2665
1,1,0,2,2,0,-1,0,171,2,1535,1,7,20,18,5,2,2,10,2510
2,0,0,3,3,1,-1,1,232,0,28,3,5,13,50,24,0,2,6,1837
0,1,3,2,1,1,-1,0,227,1,11,0,4,9,12,15,1,1,0,1437
2,1,2,3,0,1,-1,1,277,0,56,1,7,14,4,11,2,9,2,2563
3,1,2,2,0,0,-1,2,210,0,1844,3,5,18,26,6,0,10,10,2345
0,0,0,0,0,0,-1,1,226,2,1131,1,3,1,22,18,0,4,13,1805
2,1,3,2,3,0,-1,2,158,0,145,2,5,23,50,6,1,10,15,1643
0,1,1,1,1,0,-1,2,279,0,672,3,6,2,21,3,0,13,1,2196
1,1,3,0,0,2,4,0,298,2,1637,0,7,0,17,24,1,8,6,2443
1,0,3,1,3,2,4,0,234,0,6893,2,3,5,18,22,0,8,7,1699
1,1,2,2,2,2,3,1,247,0,66,3,6,12,6,5,1,9,14,2145
3,1,3,1,0,0,-1,2,150,1,1734,3,6,13,5,18,0,7,13,1632
0,0,1,3,2,1,-1,2,110,0,38,0,6,19,15,6,1,9,13,2035
0,1,3,2,1,2,1,2,221,3,4733,3,1,6,30,22,2,13,2,4263
3,0,0,2,1,1,-1,2,69,3,33,1,6,10,20,12,1,6,12,2926
3,0,1,3,1,0,-1,2,129,3,2,2,6,19,10,14,1,15,6,2052
1,0,2,1,3,0,-1,1,133,2,670,3,5,17,12,7,1,5,15,833
2,1,2,1,3,0,-1,2,56,0,1370,1,4,12,43,18,1,5,0,2014
1,0,1,1,0,2,4,2,157,3,550,3,2,14,16,18,2,5,4,2475
1,1,3,0,1,1,-1,2,203,2,75,0,3,20,39,13,1,11,8,1822
0,1,1,0,3,0,-1,2,268,3,31,3,6,12,48,1,2,3,5,2967
0,1,3,1,2,2,3,1,140,1,5868,0,4,23,7,21,2,8,14,3098
2,0,3,2,2,2,4,2,189,2,9219,2,1,9,18,8,1,8,3,893
0,0,3,1,0,0,-1,0,234,1,330,2,1,21,16,6,0,8,6,1456
2,0,0,1,3,1,-1,1,127,3,85,1,1,15,41,15,1,8,0,2028
3,0,1,0,1,2,1,0,168,3,2267,2,2,18,28,7,0,2,13,2662
1,0,0,3,2,0,-1,2,154,2,1713,2,6,5,0,8,1,8,14,1190
2,0,0,3,3,1,-1,1,257,3,81,0,5,22,33,10,0,10,6,2197
3,1,3,0,1,2,1,2,107,1,5165,1,3,3,2,13,0,0,11,2534
1,0,0,0,1,2,0,0,65,0,7189,2,5,0,50,22,0,14,14,5158
2,0,2,3,2,1,-1,0,222,2,88,3,5,24,35,15,1,2,13,1518
2,1,3,0,3,0,-1,1,218,0,348,0,1,20,37,7,1,10,6,1376
2,1,3,3,2,2,2,1,238,3,8108,1,6,20,32,22,2,10,11,4202
0,0,1,3,2,2,1,1,109,0,5349,0,5,15,46,20,0,12,10,3693
1,1,1,2,1,1,-1,2,136,1,52,0,1,17,19,5,1,4,10,1611
0,1,0,1,2,2,2,2,250,3,8930,3,7,19,6,22,1,4,15,4814
2,1,3,3,2,1,-1,2,136,2,10,1,4,17,7,16,1,12,3,1151
0,1,0,2,2,2,4,2,151,3,8712,1,4,13,29,8,0,7,13,3392
1,0,0,2,0,2,0,2,245,3,3422,3,4,2,24,22,0,1,10,4080
0,1,0,2,1,0,-1,1,103,0,1798,0,1,5,46,23,2,10,1,2158
3,0,2,0,2,2,1,1,228,3,6028,3,5,3,43,7,2,11,2,3758
2,0,3,2,1,1,-1,0,155,2,2,1,6,13,47,16,2,14,11,1865
1,0,0,1,0,0,-1,1,116,0,427,0,1,9,45,6,0,15,8,2325
0,0,0,1,2,1,-1,2,85,0,34,0,2,12,28,12,0,8,0,1930
0,1,2,1,1,1,-1,1,119,0,65,3,2,2,5,11,0,4,6,1910
2,0,1,2,3,2,1,1,288,0,8609,2,3,17,5,14,0,13,2,2779
3,0,3,2,1,0,-1,0,60,0,164,2,1,23,43,3,2,8,4,1739
1,1,3,3,3,1,-1,2,85,1,43,3,1,22,24,3,2,5,14,910
0,1,1,0,3,0,-1,0,152,2,1449,3,3,0,34,6,2,8,10,1467
3,1,2,1,0,0,-1,2,278,1,1849,3,5,6,34,21,2,2,14,2344
2,1,0,1,3,0,-1,0,95,1,1921,2,7,9,38,5,2,12,0,1344
0,1,0,2,0,2,2,2,88,2,454,0,3,24,25,18,2,15,11,1851
2,0,2,1,0,1,-1,0,268,3,0,1,1,20,26,24,1,4,10,2700
3,0,1,1,2,2,0,1,155,2,2752,0,2,11,28,0,0,12,15,1694
0,1,1,1,3,0,-1,0,244,2,1065,0,7,3,50,15,2,11,6,2112
0,1,2,1,1,0,-1,1,68,0,749,1,6,2,2,5,1,11,6,2098
3,1,1,3,0,1,-1,2,87,3,58,2,5,23,46,0,1,3,4,2775
1,0,1,1,0,2,3,0,130,2,1071,1,1,13,25,1,1,8,0,1786
0,1,0,3,0,1,-1,0,191,2,30,1,7,1,15,17,2,6,1,2437
3,0,2,1,3,2,4,0,299,3,7031,0,2,10,47,12,1,0,8,2780
2,1,1,2,2,2,3,2,65,0,4298,3,5,5,50,18,0,10,2,3006
0,0,3,2,1,2,3,1,245,2,7618,1,2,8,20,18,1,11,10,3114
2,0,1,2,1,2,3,1,279,0,8301,1,6,22,11,8,0,3,11,3727
0,1,0,2,3,0,-1,1,122,1,1882,3,2,12,35,5,0,3,8,1302
3,0,1,0,0,0,-1,2,248,3,207,3,6,12,29,16,2,9,15,2556
0,0,3,2,0,0,-1,1,50,0,671,2,5,6,29,23,0,12,5,1956
2,0,0,1,1,1,-1,1,239,2,46,3,1,2,17,13,2,13,2,734
0,0,2,1,2,1,-1,0,77,0,66,1,3,20,49,9,0,0,13,2413
3,0,3,1,0,2,3,1,107,3,7523,2,4,12,29,22,0,9,0,4124
3,0,2,3,1,1,-1,1,243,3,51,1,2,16,50,3,0,0,2,2759
1,0,3,1,0,1,-1,2,213,0,96,3,3,16,1,5,1,7,12,1667
2,0,0,2,3,2,1,0,72,0,7757,2,4,9,33,9,0,15,12,2988
0,0,1,1,0,1,-1,0,152,2,79,0,7,11,15,19,1,3,9,1690
0,0,2,1,2,2,1,1,258,3,3748,3,7,17,26,22,2,12,0,3791
1,0,1,1,2,2,0,1,179,0,3148,0,7,9,27,4,0,12,11,3630
0,0,1,0,3,2,0,0,198,1,5151,1,4,19,19,12,1,0,9,3341
1,1,2,0,1,1,-1,0,182,0,84,3,7,14,49,0,2,9,11,2903
0,1,0,3,1,2,3,1,58,2,8585,2,7,18,34,1,2,6,2,3942
3,1,1,2,1,0,-1,2,296,0,1113,2,1,19,14,17,0,4,13,2066
1,0,1,1,2,0,-1,0,66,3,1238,1,2,12,22,3,2,12,0,2527
1,1,3,2,3,2,4,1,73,3,7677,2,5,8,41,3,0,11,15,2551
2,1,1,0,1,0,-1,0,211,2,1176,1,5,6,24,19,0,6,7,1954
1,1,3,0,2,1,-1,1,221,1,22,3,6,5,5,2,0,14,6,1451
2,0,3,1,2,0,-1,2,119,1,1797,2,2,3,24,22,1,12,15,992
1,0,1,2,2,2,2,1,240,2,2456,3,3,16,31,9,0,5,6,1710
0,1,3,0,0,2,0,1,261,3,3229,3,1,10,42,3,2,7,2,4352
1,0,3,2,3,2,2,1,149,2,3294,0,3,19,49,10,2,8,14,2062
2,0,3,2,3,2,4,0,178,3,5409,0,5,6,10,3,2,11,0,1886
3,0,1,1,0,0,-1,0,190,3,561,2,4,3,13,12,2,2,3,2321
0,0,1,0,0,2,1,1,199,1,9427,1,3,22,7,20,1,0,14,3781
2,1,1,2,3,2,4,1,177,0,131,3,4,9,1,12,1,13,12,1227
3,0,0,0,2,1,-1,2,70,1,34,2,2,21,48,2,0,4,8,1481
3,0,2,3,3,1,-1,2,237,2,93,2,2,5,45,3,0,8,13,1325
0,0,3,1,0,2,4,1,89,3,8843,1,1,3,7,8,1,1,14,1945
2,1,3,1,1,2,1,0,95,3,556,3,4,17,38,7,1,6,8,2812
3,0,1,2,0,0,-1,2,260,0,1733,0,3,20,47,2,0,5,6,2213
3,1,0,3,1,0,-1,1,68,2,49,2,7,14,47,7,1,9,4,1287
3,0,0,0,0,1,-1,1,201,3,60,0,6,21,12,13,2,4,15,2603
3,0,1,1,3,0,-1,2,85,3,284,0,7,6,47,2,1,12,15,2394
1,0,3,0,2,0,-1,0,78,3,446,0,1,11,22,23,2,10,9,2292
2,0,1,0,2,2,2,1,58,2,5956,2,4,24,45,5,2,15,12,1707
0,1,0,1,1,1,-1,0,94,3,17,3,6,24,9,24,0,7,14,2757
1,0,2,3,3,0,-1,1,102,2,863,0,3,23,34,4,2,1,6,955
3,1,2,3,1,0,-1,1,236,0,596,2,1,9,6,21,1,7,2,1684
2,1,2,1,3,2,2,0,111,3,3325,3,6,22,21,5,2,4,11,3149
1,1,2,0,3,0,-1,0,170,0,235,2,3,19,3,10,2,6,12,1806
2,0,3,1,3,0,-1,2,195,1,1952,2,1,21,9,20,0,9,5,782
0,0,0,1,2,0,-1,0,285,0,1963,1,4,3,28,19,2,5,5,2485
3,1,1,3,3,2,3,0,281,0,3055,1,6,13,39,5,0,2,9,3412
2,1,1,2,3,2,1,1,287,1,8077,3,2,17,50,11,2,0,8,3509
1,1,1,0,2,2,0,0,185,1,2077,1,1,11,30,20,0,1,14,2626
3,1,3,1,0,2,4,0,278,0,5043,3,5,12,13,1,1,8,11,2268
1,0,2,2,1,1,-1,0,278,1,69,3,2,1,20,14,2,10,5,1642
3,1,3,0,3,2,0,0,249,2,7179,3,6,21,9,13,1,13,10,3821
0,0,2,1,3,2,0,0,60,1,7186,0,5,4,11,7,0,5,15,3508
0,1,3,1,0,0,-1,1,276,1,127,1,4,20,28,0,2,8,6,2229
1,1,3,1,2,1,-1,2,285,0,79,2,3,6,43,23,1,1,13,2221
3,1,0,2,0,0,-1,0,158,2,1649,3,2,5,3,10,2,6,9,1358
0,0,1,2,1,2,3,1,77,3,7486,3,5,12,10,21,0,6,10,4359
0,1,2,1,3,2,2,0,107,1,3604,0,1,14,0,9,0,4,11,1824
3,1,0,1,0,2,1,1,172,0,5037,1,2,7,10,10,2,10,11,2946
2,1,1,0,3,2,3,0,105,1,4071,2,5,23,9,22,1,4,12,2195
1,0,3,2,0,2,2,1,132,1,7430,2,5,15,39,17,0,4,8,3284
0,1,2,0,3,1,-1,0,144,1,7,2,3,17,13,2,2,8,3,1246
1,0,1,1,3,1,-1,0,135,1,14,1,7,12,10,24,1,10,4,1780
3,0,3,0,2,1,-1,0,178,0,20,2,1,0,24,18,0,7,1,1551
